City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,Hualmay,-11.0964,-77.6139,76.62,74,52,7.83,PE,1675718620
264,Flinders,-34.5833,150.8552,73.18,87,85,1.99,AU,1675718621
265,Altamira,-3.2033,-52.2064,86.09,70,0,5.75,BR,1675718468
266,Arman,59.7,150.1667,-19.93,83,84,8.86,RU,1675718621
267,New Norfolk,-42.7826,147.0587,58.71,62,0,3.0,AU,1675718622
268,Bereda,43.2686,-7.5406,40.41,98,2,5.99,ES,1675718622
269,Shuiji,27.4214,118.345,56.95,96,99,3.13,CN,1675718622
270,Okhotsk,59.3833,143.3,-10.44,80,100,11.74,RU,1675718622
271,Nicoya,10.1483,-85.452,90.99,40,6,16.08,CR,1675718623
272,Kaniama,-7.5667,24.1833,65.39,92,95,2.71,CD,1675718623
273,Ligayan,4.6533,119.4706,81.14,74,96,2.62,PH,1675718623
274,Georgetown,5.4112,100.3354,78.73,91,20,6.91,MY,1675718624
275,Presidencia Roque Saenz Pena,-26.7852,-60.4388,102.96,14,1,2.91,AR,1675718624
276,Mangochi,-14.4782,35.2645,70.11,97,100,3.71,MW,1675718624
277,Paka,4.6374,103.4368,73.33,100,94,2.3,MY,1675718625
278,Magadan,59.5667,150.8,-17.25,79,65,8.3,RU,1675718625
279,Port Elizabeth,-33.918,25.5701,74.1,96,20,4.61,ZA,1675718625
280,Kabale,-1.2486,29.9899,61.79,57,59,1.05,UG,1675718626
281,Mirnyy,62.5353,113.9611,-30.77,66,98,7.0,RU,1675718626
282,Yulara,-25.2406,130.9889,71.87,24,0,7.05,AU,1675718626
283,Saint-Philippe,-21.3585,55.7679,80.19,84,81,10.8,RE,1675718627
284,San Cristobal,7.7669,-72.225,78.98,46,68,5.17,VE,1675718628
285,Myaundzha,63.0494,147.1858,-37.39,98,97,2.39,RU,1675718628
286,Borgarnes,64.5383,-21.9206,30.81,61,100,29.1,IS,1675718629
287,Alta Floresta,-9.8756,-56.0861,78.3,92,88,3.4,BR,1675718629
288,Sibolga,1.7427,98.7792,76.55,85,100,1.9,ID,1675718629
289,Annau,37.8876,58.516,40.5,60,28,4.61,TM,1675718630
290,Yumen,40.2833,97.2,25.0,45,75,9.51,CN,1675718630
291,Daru,-9.0763,143.2092,75.79,93,100,8.57,PG,1675718632
292,Jiwani,25.05,61.7417,70.81,66,5,9.44,PK,1675718632
293,Korla,41.7597,86.1469,31.91,58,100,3.87,CN,1675718633
294,Esperance,-33.8667,121.9,66.83,91,0,13.42,AU,1675718633
295,Gazojak,41.1875,61.4036,37.44,66,100,10.83,TM,1675718633
296,Zhangye,38.9342,100.4517,30.76,20,15,4.79,CN,1675718633
297,Miandrivazo,-19.5167,45.4667,77.81,82,100,1.01,MG,1675718634
298,Richards Bay,-28.783,32.0377,72.73,92,0,3.33,ZA,1675718634
299,Cabedelo,-6.9811,-34.8339,79.47,71,78,13.53,BR,1675718634
300,Vila Velha,-20.3297,-40.2925,80.94,80,0,6.91,BR,1675718635
301,Thompson,55.7435,-97.8558,15.96,86,100,11.5,CA,1675718633
302,Portland,45.5234,-122.6762,51.78,80,75,12.66,US,1675718370
303,Husavik,66.0449,-17.3389,29.64,83,69,14.12,IS,1675718635
304,Cabo San Lucas,22.8909,-109.9124,81.7,45,0,11.5,MX,1675718635
305,Bali,-8.5,115.0,77.97,88,100,8.7,ID,1675718602
306,Bay Roberts,47.5999,-53.2648,38.14,96,100,1.99,CA,1675718636
307,Santa Rosa,14.3122,121.1114,77.09,91,90,6.15,PH,1675718539
308,Damaturu,11.747,11.9608,73.0,17,99,9.08,NG,1675718636
309,Dudinka,69.4058,86.1778,-7.38,98,99,5.97,RU,1675718637
310,Mokolo,10.7398,13.8019,72.21,19,67,6.49,CM,1675718637
311,Banjarmasin,-3.3244,114.591,75.34,93,98,1.16,ID,1675718360
312,Santa Maria,-29.6842,-53.8069,88.9,37,20,3.44,BR,1675718638
313,Pacific Grove,36.6177,-121.9166,59.41,63,0,8.05,US,1675718638
314,Gimli,50.6336,-96.9907,30.22,80,100,11.5,CA,1675718476
315,Hervey Bay,-25.2986,152.8535,77.14,68,43,18.34,AU,1675718639
316,Akonolinga,3.7667,12.25,71.38,25,50,0.87,CM,1675718639
317,Cascais,38.6979,-9.4215,53.94,76,54,14.0,PT,1675718639
318,Shache,38.4167,77.2406,30.42,61,100,4.63,CN,1675718640
319,Santa Cruz,-17.8,-63.1667,86.05,58,40,14.97,BO,1675718640
320,Tomigusuku,26.185,127.675,67.77,90,20,13.8,JP,1675718641
321,Muli,2.9167,73.5667,81.12,69,100,11.74,MV,1675718641
322,Naze,28.3667,129.4833,63.52,86,11,12.1,JP,1675718642
323,Cross Lanes,38.4204,-81.7907,47.61,57,20,3.44,US,1675718643
324,Santa Isabel Do Rio Negro,-0.4139,-65.0192,80.71,89,87,2.84,BR,1675718644
325,Los Llanos De Aridane,28.6585,-17.9182,58.75,73,20,16.11,ES,1675718645
326,Ketchikan,55.3422,-131.6461,43.27,75,40,5.75,US,1675718645
327,Melito Di Porto Salvo,37.9222,15.7714,45.73,49,100,4.61,IT,1675718645
328,Northam,51.0333,-4.2167,39.61,90,24,4.0,GB,1675718646
329,Meulaboh,4.1363,96.1285,74.75,84,100,5.68,ID,1675718646
330,Segovia,41.1667,-4.0,37.44,75,1,8.88,ES,1675718412
331,San Juan,-31.5375,-68.5364,97.99,13,0,19.06,AR,1675718647
332,Zeya,53.75,127.2667,-25.64,87,11,5.44,RU,1675718648
333,Pemba,-12.974,40.5178,77.7,83,75,6.91,MZ,1675718649
334,Kedrovyy,56.1667,91.8167,-8.14,100,92,3.44,RU,1675718649
335,Sirsa,29.5333,75.0167,56.21,62,0,8.57,IN,1675718649
336,Miramar,25.9873,-80.2323,79.0,65,20,14.97,US,1675718649
337,Ambon,-3.6954,128.1814,77.14,88,40,1.14,ID,1675718650
338,Ola,59.5833,151.2833,-18.74,86,68,9.6,RU,1675718650
339,Havoysund,70.9963,24.6622,39.43,97,100,31.61,NO,1675718651
340,Quebec,46.8123,-71.2145,23.07,72,77,5.01,CA,1675718525
341,Ilulissat,69.2167,-51.1,-2.18,78,75,8.05,GL,1675718651
342,Chimbote,-9.0853,-78.5783,76.95,70,28,9.66,PE,1675718594
343,Auki,-8.7676,160.7034,77.85,86,100,4.83,SB,1675718651
344,Arkadelphia,34.1209,-93.0538,68.99,66,75,13.8,US,1675718652
345,Rawson,-43.3002,-65.1023,79.81,35,42,25.34,AR,1675718652
346,Alyangula,-13.8483,136.4192,81.57,66,63,3.58,AU,1675718652
347,Acapulco,16.8634,-99.8901,84.02,65,0,13.8,MX,1675718589
348,Mul,20.0667,79.6667,67.21,24,17,3.36,IN,1675718653
349,Bilibino,68.0546,166.4372,-35.91,100,98,0.94,RU,1675718653
350,Roald,62.5833,6.1333,48.34,71,75,17.27,NO,1675718654
351,Kalmunai,7.4167,81.8167,76.12,87,56,6.51,LK,1675718654
352,Alofi,-19.0595,-169.9187,84.09,74,75,9.22,NU,1675718654
